term,frequency,Category
team,69,nontechnical
communication,61,nontechnical
problem-solving,55,nontechnical
written,31,nontechnical
collaborate,25,nontechnical
professional,23,nontechnical
consulting,21,nontechnical
innovative,20,nontechnical
statistics,74,technical-area
machine-learning,55,technical-area
computer-science,44,technical-area
data-science,41,technical-area
engineering,40,technical-area
software,39,technical-area
algorithms,38,technical-area
mathematics,30,technical-area
decisions-science,28,technical-area
big-data,26,technical-area
intelligence,20,technical-area
modeling,71,technical-skill
analytics,69,technical-skill
programming,68,technical-skill
analysis,58,technical-skill
design,45,technical-skill
data-processing,42,technical-skill
research,40,technical-skill
database,38,technical-skill
data-mining,32,technical-skill
data-visualization,32,technical-skill
quantitative,24,technical-skill
r-programming,58,technical-specific-technology
python,57,technical-specific-technology
sql,45,technical-specific-technology
sas,27,technical-specific-technology
java,24,technical-specific-technology
hadoop,23,technical-specific-technology
tableau,21,technical-specific-technology
